id,survey_response_id,network_id,survey_id,respondent_id,network,network_name,year,net_role,so_part_util_012021,so_part_util_022021,so_part_util_152021,so_part_t,so_part_expec,is_inqcyclechal_y_n,part_team_meetings_1,part_team_meetings_2,part_team_meet_32021,equity_dis_1,equity_dis_2,equity_dis_3,so_rt_12020,so_rt_72020,so_rt_22020,so_rt_32020,so_rt_62020,hsupport_st_lead_7,sch_support_st_lead_7,nl_netops_groupcom_1,nl_netops_groupcom_2,nl_netops_groupcom_3,recommend,gender,gender_v3,ethnicity_v3,ethnicity_v3_1,ethnicity_v3_2,ethnicity_v3_3,ethnicity_v3_4,ethnicity_v3_5,ethnicity_v3_6,ethnicity_v3_7,ethnicity_v3_7_text
AZMN_02,49066,9,491,1172,AZMN,,2021,2,,,,,3,,2,,,,,,,,,,,,,,,,10,,2,5,0,0,0,0,1,0,0,
AZMN_04,49072,9,491,1178,AZMN,,2021,3,,,,,4,1,1,5,4,4,3,3,,,,,,4,5,,,,8,,2,5,0,0,0,0,1,0,0,
AZMN_07,48881,9,491,996,AZMN,,2021,4,,,,,3,1,1,4,4,4,4,4,,,,,,,,,,,8,,2,5,0,0,0,0,1,0,0,
AZMN_08,48444,9,491,570,AZMN,,2021,3,,,,,4,1,1,5,4,1,1,1,,,,,,3,3,,,,7,,2,5,0,0,0,0,1,0,0,
AZMN_09,49102,9,491,1207,AZMN,,2021,4,,,,,3,1,1,5,4,3,3,4,,,,,,,,,,,8,,2,5,0,0,0,0,1,0,0,
AZMN_101,48408,9,491,535,AZMN,,2021,2,,,,,5,,2,,,,,,,,,,,,,,,,7,,1,5,0,0,0,0,1,0,0,
AZMN_103,49065,9,491,1171,AZMN,,2021,4,,,,,1,3,1,4,2,2,2,2,,,,,,,,,,,6,,2,2,0,1,0,0,0,0,0,
AZMN_104,48726,9,491,847,AZMN,,2021,4,,,,,2,1,1,5,4,3,3,4,,,,,,,,,,,10,,2,2,0,1,0,0,0,0,0,
AZMN_105,49177,9,491,1280,AZMN,,2021,1,,,,,5,,,,,,,,,,,,,,,,,,,,2,2,0,1,0,0,0,0,0,
AZMN_106,48454,9,491,580,AZMN,,2021,3,,,,,5,1,1,5,4,2,1,2,,,,,,5,5,,,,7,,2,5,0,0,0,0,1,0,0,
AZMN_107,49185,9,491,1288,AZMN,,2021,1,,,,,4,,,,,,,,,,,,,,,,,,,,1,2,0,1,0,0,0,0,0,
AZMN_108,49331,9,491,1429,AZMN,,2021,4,,,,,1,1,1,3,4,1,1,1,,,,,,,,,,,10,,2,2,0,1,0,0,0,0,0,
AZMN_109,48450,9,491,576,AZMN,,2021,3,,,,,4,1,1,5,4,1,1,1,,,,,,4,5,,,,9,,2,4,0,0,0,1,1,0,0,
AZMN_111,49485,9,491,1577,AZMN,,2021,4,,,,,3,1,1,4,4,2,2,2,,,,,,,,,,,7,,2,5,0,0,0,0,1,0,0,
AZMN_112,49078,9,491,1184,AZMN,,2021,4,,,,,3,2,1,3,4,3,3,3,,,,,,,,,,,10,,5,6,0,0,0,0,0,1,0,
AZMN_113,49166,9,491,1271,AZMN,,2021,2,,,,,5,,1,5,4,4,3,3,,,,,,,,,,,8,,2,2,0,1,0,0,0,0,0,
AZMN_115,49350,9,491,1446,AZMN,,2021,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
AZMN_116,50194,9,491,2268,AZMN,,2021,4,,,,,4,3,1,4,4,3,4,4,,,,,,,,,,,9,,2,1,1,0,0,0,0,0,0,
AZMN_119,48940,9,491,1050,AZMN,,2021,4,,,,,3,1,1,3,2,2,2,2,,,,,,,,,,,5,,2,5,0,0,0,0,1,0,0,
AZMN_120,50013,9,491,2095,AZMN,,2021,4,,,,,3,1,1,4,3,3,3,3,,,,,,,,,,,8,,2,5,0,0,0,0,1,0,0,
AZMN_124,48872,9,491,987,AZMN,,2021,4,,,,,3,1,1,4,4,1,1,1,,,,,,,,,,,9,,2,1,1,0,0,0,0,0,0,
AZMN_126,48375,9,491,506,AZMN,,2021,4,,,,,3,1,1,4,4,4,4,4,,,,,,,,,,,7,,2,5,0,0,0,0,1,0,0,
AZMN_13,49479,9,491,1571,AZMN,,2021,1,,,,,1,,,,,,,,,,,,,,,,,,,,2,2,0,1,0,0,0,0,0,
AZMN_132,49077,9,491,1183,AZMN,,2021,3,,,,,5,1,1,4,5,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
AZMN_133,48371,9,491,502,AZMN,,2021,4,,,,,4,1,1,4,4,3,3,3,,,,,,,,,,,7,,1,2,0,1,0,0,0,0,0,
AZMN_134,49173,9,491,1277,AZMN,,2021,1,,,,,4,,,,,,,,,,,,,,,,,,,,2,2,0,1,0,0,0,0,0,
AZMN_135,48877,9,491,992,AZMN,,2021,2,,,,,4,,2,,,,,,,,,,,,,,,,10,,2,2,0,1,0,0,0,0,0,
AZMN_136,48735,9,491,856,AZMN,,2021,4,,,,,4,1,1,4,4,5,5,5,,,,,,,,,,,5,,5,6,0,0,0,0,0,1,0,
AZMN_138,48389,9,491,518,AZMN,,2021,4,,,,,3,1,1,4,4,2,1,2,,,,,,,,,,,9,,2,3,0,0,1,0,0,0,0,
AZMN_139,49171,9,491,1275,AZMN,,2021,1,,,,,4,,,,,,,,,,,,,,,,,,,,1,2,0,1,0,0,0,0,0,
AZMN_14,48868,9,491,983,AZMN,,2021,4,,,,,3,3,2,,,,,,,,,,,,,,,,8,,5,6,0,0,0,0,0,1,0,
AZMN_141,49103,9,491,1208,AZMN,,2021,4,,,,,1,1,1,3,4,1,1,1,,,,,,,,,,,1,,2,2,0,1,0,0,0,0,0,
AZMN_142,49300,9,491,1399,AZMN,,2021,1,,,,,5,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,0,0,0,0,
AZMN_143,49321,9,491,1419,AZMN,,2021,4,,,,,3,1,1,4,4,4,3,4,,,,,,,,,,,9,,2,5,0,0,0,0,1,0,0,
AZMN_146,48720,9,491,841,AZMN,,2021,3,,,,,4,1,1,5,4,2,1,2,,,,,,1,1,,,,6,,1,5,0,0,0,0,1,0,0,
AZMN_147,48498,9,491,624,AZMN,,2021,4,,,,,2,1,1,5,4,1,1,1,,,,,,,,,,,4,,2,5,0,0,0,0,1,0,0,
AZMN_149,49168,9,491,1273,AZMN,,2021,1,,,,,3,,,,,,,,,,,,,,,,,,,,2,7,0,0,0,0,0,0,1,Arab
AZMN_151,48442,9,491,568,AZMN,,2021,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
AZMN_152,48380,9,491,511,AZMN,,2021,4,,,,,3,1,1,4,4,4,4,4,,,,,,,,,,,10,,2,2,0,1,0,0,0,0,0,
AZMN_155,48391,9,491,520,AZMN,,2021,3,,,,,4,1,1,5,4,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
AZMN_156,48374,9,491,505,AZMN,,2021,2,,,,,2,,2,,,,,,,,,,,,,,,,6,,2,2,0,1,0,0,0,0,0,
AZMN_157,49067,9,491,1173,AZMN,,2021,4,,,,,1,2,1,3,4,4,1,4,,,,,,,,,,,10,,2,2,0,1,0,0,0,0,0,
AZMN_162,48869,9,491,984,AZMN,,2021,2,,,,,1,,2,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,0,0,0,
AZMN_164,48880,9,491,995,AZMN,,2021,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
AZMN_165,49073,9,491,1179,AZMN,,2021,4,,,,,3,1,1,2,4,1,1,1,,,,,,,,,,,8,,1,2,0,1,0,0,0,0,0,
AZMN_166,49167,9,491,1272,AZMN,,2021,1,,,,,3,,,,,,,,,,,,,,,,,,,,1,2,0,1,0,0,0,0,0,
AZMN_167,50413,9,491,2638,AZMN,,2021,4,,,,,2,1,1,3,4,3,2,2,,,,,,,,,,,10,,1,5,0,0,0,0,1,0,0,
AZMN_168,48376,9,491,507,AZMN,,2021,4,,,,,2,1,1,4,3,2,2,2,,,,,,,,,,,9,,1,5,0,0,0,0,1,0,0,
AZMN_17,49184,9,491,1287,AZMN,,2021,3,,,,,3,1,1,5,4,2,1,1,,,,,,4,4,,,,6,,2,5,0,0,0,0,1,0,0,
AZMN_170,49198,9,491,1300,AZMN,,2021,4,,,,,2,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
AZMN_171,49059,9,491,1165,AZMN,,2021,3,,,,,3,1,1,5,4,4,4,4,,,,,,4,4,,,,6,,5,6,0,0,0,0,0,1,0,
AZMN_172,48484,9,491,610,AZMN,,2021,4,,,,,4,2,1,3,1,2,2,2,,,,,,,,,,,5,,2,5,0,0,0,0,1,0,0,
AZMN_173,48349,9,491,480,AZMN,,2021,2,,,,,5,,2,,,,,,,,,,,,,,,,8,,1,2,0,1,0,0,0,0,0,
AZMN_177,48357,9,491,488,AZMN,,2021,4,,,,,3,3,1,4,4,2,2,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
AZMN_18,48800,9,491,921,AZMN,,2021,4,,,,,3,1,1,5,4,1,1,1,,,,,,,,,,,10,,1,2,0,1,0,0,0,0,0,
AZMN_180,50416,9,491,2641,AZMN,,2021,4,,,,,3,1,1,4,4,3,3,3,,,,,,,,,,,8,,1,5,0,0,0,0,1,0,0,
AZMN_184,49961,9,491,2045,AZMN,,2021,3,,,,,4,1,1,5,4,1,1,1,,,,,,4,4,,,,8,,1,2,0,1,0,0,0,0,0,
AZMN_189,49157,9,491,1262,AZMN,,2021,1,,,,,3,,,,,,,,,,,,,,,,,,,,1,5,0,0,0,0,1,0,0,
AZMN_19,50493,9,491,2713,AZMN,,2021,4,,,,,1,1,2,,,,,,,,,,,,,,,,10,,2,5,0,0,0,0,1,0,0,
AZMN_192,48373,9,491,504,AZMN,,2021,4,,,,,4,1,1,4,4,2,2,2,,,,,,,,,,,3,,2,5,0,0,0,0,1,0,0,
AZMN_193,49296,9,491,1395,AZMN,,2021,3,,,,,2,1,1,5,2,1,1,2,,,,,,4,4,,,,9,,2,2,0,1,0,0,0,0,0,
AZMN_196,48843,9,491,961,AZMN,,2021,4,,,,,2,1,1,5,4,4,3,4,,,,,,,,,,,10,,2,3,0,0,1,0,0,0,0,
AZMN_197,50490,9,491,2710,AZMN,,2021,2,,,,,3,,2,,,,,,,,,,,,,,,,10,,1,2,0,1,1,0,0,0,0,
AZMN_198,48695,9,491,816,AZMN,,2021,3,,,,,4,1,1,5,4,1,1,1,,,,,,3,3,,,,8,,2,2,0,1,0,0,0,0,0,
AZMN_200,48410,9,491,537,AZMN,,2021,4,,,,,3,1,1,3,4,4,4,4,,,,,,,,,,,8,,2,6,0,0,0,0,0,1,0,
AZMN_204,48879,9,491,994,AZMN,,2021,3,,,,,5,1,1,5,4,5,4,4,,,,,,5,4,,,,10,,2,2,0,1,0,0,0,0,0,
AZMN_205,50190,9,491,2264,AZMN,,2021,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
AZMN_206,50053,9,491,2134,AZMN,,2021,4,,,,,1,1,1,4,3,1,1,1,,,,,,,,,,,4,,2,5,0,0,0,0,1,0,0,
AZMN_208,49169,9,491,1274,AZMN,,2021,1,,,,,3,,,,,,,,,,,,,,,,,,,,1,2,0,1,0,0,0,0,0,
AZMN_209,48739,9,491,860,AZMN,,2021,4,,,,,3,3,1,1,1,1,1,1,,,,,,,,,,,1,,5,6,0,0,0,0,0,1,0,
AZMN_212,49338,9,491,1436,AZMN,,2021,3,,,,,4,1,1,5,4,1,1,1,,,,,,2,2,,,,9,,2,2,0,1,0,0,0,0,0,
AZMN_214,48873,9,491,988,AZMN,,2021,4,,,,,4,1,1,5,4,5,5,5,,,,,,,,,,,10,,1,5,0,0,0,0,1,0,0,
AZMN_216,48411,9,491,538,AZMN,,2021,3,,,,,4,1,1,5,4,2,2,2,,,,,,3,4,,,,10,,2,5,0,0,0,0,1,0,0,
AZMN_217,48732,9,491,853,AZMN,,2021,4,,,,,4,3,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
AZMN_219,48367,9,491,498,AZMN,,2021,3,,,,,4,1,1,5,4,4,1,4,,,,,,4,4,,,,9,,2,3,0,0,1,0,1,0,0,
AZMN_22,49058,9,491,1164,AZMN,,2021,4,,,,,1,1,1,4,4,4,4,4,,,,,,,,,,,10,,1,2,0,1,0,0,0,0,0,
AZMN_220,49156,9,491,1261,AZMN,,2021,1,,,,,3,,,,,,,,,,,,,,,,,,,,2,5,0,0,0,0,1,0,0,
AZMN_221,48426,9,491,553,AZMN,,2021,2,,,,,4,,2,,,,,,,,,,,,,,,,8,,2,5,0,0,0,0,1,0,0,
AZMN_223,48439,9,491,565,AZMN,,2021,3,,,,,3,1,1,5,4,5,5,5,,,,,,3,3,,,,10,,2,5,0,0,0,0,1,0,0,
AZMN_225,48370,9,491,501,AZMN,,2021,4,,,,,4,1,1,5,4,2,2,2,,,,,,,,,,,10,,2,5,0,0,0,0,1,0,0,
AZMN_226,48729,9,491,850,AZMN,,2021,4,,,,,3,3,1,4,4,1,1,1,,,,,,,,,,,10,,2,2,0,1,0,0,0,0,0,
AZMN_227,49472,9,491,1565,AZMN,,2021,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
AZMN_228,48779,9,491,900,AZMN,,2021,4,,,,,3,1,1,4,4,1,1,1,,,,,,,,,,,5,,2,7,0,0,0,0,0,0,1,MENA-Middle Eastern North African 
AZMN_23,49328,9,491,1426,AZMN,,2021,4,,,,,3,1,1,2,4,3,3,3,,,,,,,,,,,8,,2,5,0,0,0,0,1,0,0,
AZMN_230,49325,9,491,1423,AZMN,,2021,4,,,,,3,1,1,4,4,4,4,4,,,,,,,,,,,7,,1,6,0,0,0,0,0,1,0,
AZMN_231,48398,9,491,526,AZMN,,2021,4,,,,,2,1,1,3,2,2,2,2,,,,,,,,,,,8,,2,5,0,0,0,0,1,0,0,
AZMN_232,50198,9,491,2271,AZMN,,2021,4,,,,,1,2,1,2,4,1,1,1,,,,,,,,,,,7,,1,5,0,0,0,0,1,0,0,
AZMN_233,48425,9,491,552,AZMN,,2021,4,,,,,3,1,1,4,4,1,1,1,,,,,,,,,,,6,,1,5,0,0,0,0,1,0,0,
AZMN_234,49146,9,491,1251,AZMN,,2021,1,,,,,2,,,,,,,,,,,,,,,,,,,,2,5,0,0,0,0,1,0,0,
AZMN_235,49458,9,491,1551,AZMN,,2021,4,,,,,1,3,2,,,,,,,,,,,,,,,,9,,1,5,0,0,0,0,1,0,0,
AZMN_24,48890,9,491,1005,AZMN,,2021,4,,,,,3,1,1,4,4,3,3,3,,,,,,,,,,,10,,2,5,0,0,0,0,1,0,0,
AZMN_25,48871,9,491,986,AZMN,,2021,4,,,,,3,3,1,4,4,4,4,4,,,,,,,,,,,8,,2,2,0,1,0,0,0,0,0,
AZMN_26,50346,9,491,2573,AZMN,,2021,4,,,,,2,1,1,3,4,4,4,4,,,,,,,,,,,9,,2,5,0,0,0,0,1,0,0,
AZMN_30,48395,9,491,523,AZMN,,2021,1,,,,,2,,,,,,,,,,,,,,,,,,,,2,5,0,0,0,0,1,0,0,
AZMN_31,49199,9,491,1301,AZMN,,2021,1,,,,,4,,,,,,,,,,,,,,,,,,,,2,5,0,0,0,0,1,0,0,
AZMN_33,48733,9,491,854,AZMN,,2021,4,,,,,3,3,1,4,4,3,3,3,,,,,,,,,,,10,,2,2,0,1,0,0,0,0,0,
AZMN_34,49061,9,491,1167,AZMN,,2021,4,,,,,3,1,1,5,4,1,1,1,,,,,,,,,,,8,,2,2,0,1,0,0,0,0,0,
AZMN_35,48618,9,491,741,AZMN,,2021,4,,,,,4,1,1,4,4,2,2,2,,,,,,,,,,,10,,2,5,0,0,0,0,1,0,0,
AZMN_37,48806,9,491,927,AZMN,,2021,4,,,,,2,1,1,4,3,4,4,4,,,,,,,,,,,8,,2,3,0,0,1,0,0,0,0,
